"В летние месяцы: Число пожаров","В летние месяцы: Число погоревших дворов","В летние месяцы: Сумма убытков","В осенние месяцы: Число пожаров","В осенние месяцы: Число погоревших дворов","В осенние месяцы: Сумма убытков","ВСЕГО В ГОД: Число пожаров","ВСЕГО В ГОД: Число погоревших дворов","ВСЕГО В ГОД: Сумма убытков","Причины пожаров: От дурного устройства печей и труб","Причины пожаров: От неосторожности","Причины пожаров: От поджога","Причины пожаров: От других причин"
"4","2","3 715","7","3","17 565","20","9","26 560","2","5","1","12"
"26","29","2 130—70","38","39","5 327—90","110","115","10 457—75","—","38","27","45"
"1","6","10 000","—","—","—","1","6","10 000","—","—","—","1"
"8","6","558","12","6","375","59","33","2 398","22","27","—","10"
"1","1","1 500","—","—","—","4","4","4 250","—","—","—","4"
"22","25","5 189","20","22","896","61","65","6 752","2","33","2","24"
"1","4","470","—","—","—","6","11","12 170","1","3","1","1"
"7","20","16 228","8","8","850","33","52","19 468—50","8","13","4","8"
"2","2","73","—","—","—","3","3","91","2","1","—","—"
"6","6","71","20","20","746—60","82","80","1 226—10","1","65","1","15"
"—","—","—","—","—","—","—","—","—","—","—","—","—"
"—","—","—","—","—","—","—","—","—","—","—","—","—"
"78","101","39 934—70","105","98","25 760—50","379","378","93 373—35","38","185","36","120"
