"Города и округа","Смертоубийства: Детоубийств новорожденн.","Смертоубийства: Смертоубийство","Смертоубийства: Итого","Жертвы: Детоубийство: М.","Жертвы: Детоубийство: Ж.","Жертвы: Смертоубийство: М.","Жертвы: Смертоубийство: Ж.","Жертвы: Итого: М.","Жертвы: Итого: Ж.","Самоубийство: М.","Самоубийство: Ж.","Скоропостижно: От болезни: М.","Скоропостижно: От болезни: Ж.","Скоропостижно: От пьянства: М.","Скоропостижно: От пьянства: Ж."
"В гор. Красноярске","1","6","7","1","—","6","—","7","—","6","2","—","—","1","—"
"В округе оного","—","19","19","—","—","14","5","14","5","2","—","—","—","6","2"
"В гор. Енисейске","—","2","2","—","—","2","—","2","—","1","—","5","2","1","—"
"В округе оного","—","6","6","—","—","5","1","5","1","3","—","6","1","4","—"
"В гор. Канске","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"В округе оного","—","18","18","—","—","15","3","15","3","2","1","1","—","2","2"
"В гор. Ачинске","—","7","7","—","—","5","2","5","2","1","—","—","—","—","—"
"В округе оного","—","6","6","—","—","5","1","5","1","2","1","—","—","1","—"
"В гор. Минусинске","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"В округе оного","—","5","5","—","—","5","—","5","—","4","—","—","—","7","—"
"Усинском погр. округе","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"В гор. Туруханске / Туруханском крае","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—"
"На частных золот. промыслах","—","6","6","—","—","6","—","6","—","2","—","17","1","—","—"
"Итого","1","75","76","1","—","63","12","64","12","23","4","29","4","23","4"
