"Умершие: Итого: М.","Умершие: Итого: Ж.","Найденные мертвые тела: М.","Найденные мертвые тела: Ж.","Жертвы случайной смерти: Убито громом: М.","Жертвы случайной смерти: Убито громом: Ж.","Задавлено и упало с высот.: М.","Задавлено и упало с высот.: Ж.","Сгорело и убито на пожарах: М.","Сгорело и убито на пожарах: Ж.","Умерло от угара: М.","Умерло от угара: Ж.","Замерзло: М.","Замерзло: Ж.","Утонуло: М.","Утонуло: Ж.","Укушено зверями: М.","Укушено зверями: Ж.","Умерло от других случайностей: М.","Умерло от других случайностей: Ж.","Итого случайных: М.","Итого случайных: Ж.","Всего умерло от насильственной и случайной смерти: М.","Всего умерло от насильственной и случайной смерти: Ж."
"*","—","—","—","—","—","—","—","—","—","—","—","1","—","3","—","—","—","21","8","25","8","39","10"
"*","2","4","1","1","—","1","—","2","—","2","—","4","2","8","2","—","—","33","17","51","22","77","30"
"*","2","—","—","—","—","—","—","—","—","—","—","—","—","2","—","—","—","6","2","8","3","18","5"
"*","2","3","—","—","—","2","—","1","—","—","—","1","—","2","—","—","—","3","2","9","5","35","8"
"*","—","—","—","—","—","—","—","—","—","—","—","1","—","3","—","—","—","5","1","9","1","10","1"
"*","2","—","—","1","—","2","—","—","—","1","—","3","—","9","—","—","—","24","6","40","9","60","15"
"*","—","2","—","—","—","—","—","—","—","—","—","—","—","6","—","—","—","8","2","14","5","22","7"
"*","1","4","2","—","—","1","—","1","—","—","—","—","—","7","—","—","—","15","3","24","6","37","11"
"*","—","—","—","—","—","2","—","—","—","—","—","—","—","—","—","—","—","1","—","3","—","3","—"
"*","—","22","—","—","—","3","—","2","—","2","—","4","—","13","—","—","—","9","—","33","—","74","—"
"*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"*","1","3","1","—","—","—","—","—","—","—","—","1","—","2","—","—","—","—","—","3","—","7","2"
"*","1","—","—","—","—","—","—","1","—","—","—","—","—","2","—","—","—","—","—","3","—","35","1"
"*","11","38","4","2","—","11","—","7","—","5","—","15","2","57","2","—","—","125","41","222","59","417","90"
