"Название учебных заведений","В ГУБЕРНСКОМ ГОРОДЕ: Число учебных заведений","В ГУБЕРНСКОМ ГОРОДЕ: Число учащихся: Муж.","В ГУБЕРНСКОМ ГОРОДЕ: Число учащихся: Жен."
"Мужская классическая гимназия","1","*","*"
"шестиклассная прогимназия","—","*","*"
"Женская гимназии","1","*","*"
"прогимназия","—","*","*"
"Учительская семинария","1","*","*"
"При ней начальная школа","1","*","*"
"Техническое железно-дорожное училище","1","*","*"
"Уездные училища","—","*","*"
"Городския 3-х классные","1","*","*"
"2-х классные","—","*","*"
"приходския училища","—","*","*"
"Начальные 2-х классные","—","*","*"
"одноклассные","8","*","*"
"Владимирский детский приют","1","*","*"
"Духовное училище","1","*","*"
"Епархиальное женское училище","1","*","*"
"Щеголевское ремесленное 2-х классное училище","1","*","*"
"Начальное женское училище","—","*","*"
"Воскресные школы","1","*","*"
"Церковно-приходския школы","3","*","*"
"Школы грамотности","—","*","*"
"Приют арестантских детей","1","*","*"
"Александровский дом призрения бедных детей","—","*","*"
"Частные школы","—","*","*"
"ИТОГО","25","*","*"
