"В ОКРУЖНЫХ ГОРОДАХ: Число учебных заведений","В ОКРУЖНЫХ ГОРОДАХ: Число учащихся: Муж.","В ОКРУЖНЫХ ГОРОДАХ: Число учащихся: Жен.","В ОКРУГАХ: Число учебных заведений","В ОКРУГАХ: Число учащихся: Муж.","В ОКРУГАХ: Число учащихся: Жен.","ВСЕГО В ГУБЕРНИИ: Число учебных заведений","ВСЕГО В ГУБЕРНИИ: Число учащихся: Муж.","ВСЕГО В ГУБЕРНИИ: Число учащихся: Жен.","ВСЕГО В ГУБЕРНИИ: Число учащихся: Об. пола"
"—","—","—","—","—","—","1","274","—","274"
"1","88","—","—","—","—","1","88","—","88"
"1","—","121","—","—","—","2","—","379","379"
"1","—","124","—","—","—","1","—","124","124"
"—","—","—","—","—","—","1","36","—","36"
"—","—","—","—","—","—","1","57","—","57"
"—","—","—","—","—","—","1","35","—","35"
"1","110","—","—","—","—","1","110","—","110"
"2","250","—","—","—","—","3","410","—","410"
"1","100","—","—","—","—","1","100","—","100"
"6","408","115","—","—","—","6","408","115","523"
"—","—","—","2","73","46","2","73","46","119"
"—","—","—","47","1 493","586","55","1 788","697","2 485"
"—","—","—","—","—","—","1","—","44","44"
"—","—","—","—","—","—","1","122","—","122"
"—","—","—","—","—","—","1","—","80","80"
"—","—","—","—","—","—","1","41","—","41"
"1","—","73","—","—","—","1","—","73","73"
"2","—","142","—","—","—","3","—","248","248"
"1","—","91","105","1 935","662","109","1 966","829","2 795"
"—","—","—","33","117","425","33","417","425","542"
"—","—","—","—","—","—","1","25","11","36"
"1","22","—","—","—","—","1","22","—","22"
"2","4","22","—","—","—","2","4","22","26"
"20","982","688","187","3 618","1 719","230","5 676","3 093","8 769"
