"Наименование фабрик и заводов","Город Красноярск: Число фабр.","Город Красноярск: Сумма производства","Город Красноярск: Число рабочих","Округ Красноярский: Число фабр.","Округ Красноярский: Сумма производства","Округ Красноярский: Число рабочих","Город Енисейск: Число фабр.","Город Енисейск: Сумма производства","Город Енисейск: Число рабочих","Округ Енисейский: Число фабр.","Округ Енисейский: Сумма производства","Округ Енисейский: Число рабочих"
"1. Обделывающие животные продукты: Салотопенные, свечные и мыловаренные","3","10 510","14","—","—","—","2","2 800","4","1","*","*"
"1. Обделывающие животные продукты: Кожевенные","9","38 793","45","10","795","12","1","3 312","5","2","*","*"
"1. Обделывающие животные продукты: Воскобойные","1","19 890","6","—","—","—","—","—","—","—","*","*"
"2. Обделывающие растительные продукты: Крупчатые","—","—","—","—","—","—","—","—","—","—","*","*"
"2. Обделывающие растительные продукты: Маслобойные","—","—","—","—","—","—","—","—","—","—","*","*"
"2. Обделывающие растительные продукты: Канатные и веревочные","2","7 519","9","—","—","—","—","—","—","—","*","*"
"2. Обделывающие растительные продукты: Винокуренные","—","—","—","1","22 716-25","30","1","13 100","20","1","*","*"
"2. Обделывающие растительные продукты: Водочные заводы","—","—","—","—","—","—","1","11 300","9","—","*","*"
"2. Обделывающие растительные продукты: Пиво-медоваренные","2","86 228","32","—","—","—","1","6 700","5","—","*","*"
"2. Обделывающие растительные продукты: Паточные","—","—","—","—","—","—","—","—","—","—","*","*"
"2. Обделывающие растительные продукты: Свеклосахарные","—","—","—","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Механический чугунно-литейный","1","18 000","44","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Лесопильных","2","15 000","12","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Стеклоделательные","—","—","—","1","9 900","41 (совместно с фаянсовым)","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Фаянсовые","—","—","—","1","250","(включены в стеклоделательный)","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Колокольные","1","3 400","4","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Кирпичные","8","45 600","240","1","240","5","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Гончарные","3","1 000","7","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Солеваренные","—","—","—","—","—","—","—","—","—","—","*","*"
"3. Обделывающие ископаемые продукты: Смольные и скипидарные","—","—","—","1","150","2","—","—","—","—","*","*"
"4. Смешанных продуктов: Экипажные и кузнечные","—","—","—","—","—","—","6","3 480","18","—","*","*"
"ИТОГО","32","245 940","413","15","33 861-15","90","12","40 692","61","3","*","*"
