"Наименование фабрик и заводов","Город Канск: Число рабочих","Округ Канский: Число фабр.","Округ Канский: Сумма","Округ Канский: Число рабочих","Город Ачинск: Число фабр.","Город Ачинск: Сумма","Город Ачинск: Число рабочих","Округ Ачинский: Число фабр.","Округ Ачинский: Сумма","Округ Ачинский: Число рабочих","Город Минусинск: Число фабр.","Город Минусинск: Сумма","Город Минусинск: Число рабочих","Округ Минусинский: Число фабр.","Округ Минусинский: Сумма","Округ Минусинский: Число рабочих","Всего в губернии: Число фабр.","Всего в губернии: Сумма","Всего в губернии: Число рабочих"
"1. Салотопенные, свечные и мыловаренные","8","—","—","—","1","1 000","3","6","3 000","8","13","11 500","29","11","2 680","16","40","35 990","82"
"1. Кожевенные","12","7","8 700","15","4","4 500","6","15","12 500","32","10","25 000","12","59","18 650","86","122","124 150","229"
"1. Воскобойные","—","—","—","—","—","—","—","—","—","—","2","500","4","—","—","—","3","20 390","10"
"2. Крупчатые","—","—","—","—","—","—","—","—","—","—","—","—","—","3","190 871-31","70","3","190 871-34","70"
"2. Маслобойные","—","—","—","—","—","—","—","10","2 000","15","5","2 000","10","65","7 015","96","78","11 015","121"
"2. Канатные и веревочные","—","—","—","—","1","400","2","3","1 300","7","—","—","—","14","500","28","20","9 719","46"
"2. Винокуренные","—","1","40 000","30","—","—","—","2","125 091","85","—","—","—","3","157 516","67","9","*","252"
"2. Винокуренные (недействующие)","—","—","—","—","—","—","—","3","недейств.","—","—","—","—","—","—","—","3","недействовали","—"
"2. Водочные заводы","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","11 300","9"
"2. Пиво-медоваренные","—","—","—","—","2","8 000","4","—","—","—","1","6 000","9","—","—","—","6","106 928","50"
"2. Паточные","—","—","—","—","—","—","—","—","—","—","—","—","—","1","1 000","4","1","1 000","4"
"2. Свеклосахарные","—","—","—","—","—","—","—","—","—","—","—","—","—","1","70 000","180","1","70 000","180"
"3. Механический чугунно-литейный","—","—","—","—","—","—","—","—","—","—","—","—","—","1","155 685-11*","566","2","*","610"
"3. Лесопильных","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","2","15 000","12"
"3. Стеклоделательные","—","—","—","—","—","—","—","—","—","—","—","—","—","1","1 723-67","15","2","*","80"
"3. Фаянсовые","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","250","(вкл. в стекл.)"
"3. Колокольные","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","3 400","4"
"3. Кирпичные","29","6","560","15","6","5 000","30","13","10 250","30","12","13 000","42","7","2 230","10","64","7 8410","401"
"3. Гончарные","—","—","—","—","2","500","2","8","1 000","8","6","600","10","18","310","19","37","3 410","46"
"3. Солеваренные","—","2","35 000","64","—","—","—","—","—","—","—","—","—","3","53 731-50*","63","5","*","127"
"3. Смольные и скипидарные","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","150","2"
"4. Экипажные и кузнечные","—","—","—","—","—","—","—","—","—","—","35","8 500","49","36","1 835","36","77","13 815","103"
"ИТОГО","49","16","84 260","124","16","19 400","47","57","недейств.","185","84","671 000","165","881*","*","1 286","66*","недейств.","2 414"
