"Города и округа","Законно-рожденных: Муж.","Законно-рожденных: Жен.","Законно-рожденных: *"
"В гор. Красноярске","340","356","*"
"В гор. Енисейске","165","145","*"
"В гор. Канске","99","115","*"
"В гор. Ачинске","97","111","*"
"В гор. Минусинске","226","215","*"
"В гор. Туруханске","20","21","*"
"Итого в городах","947","963","*"
"В Красноярском округе","1670","1638","*"
"В Енисейском округе","1385","1222","*"
"В Канском округе","2139","1926","*"
"В Ачинском округе","2524","2429","*"
"В Минусинском округе","4066","3887","*"
"В Туруханском крае","130","126","*"
"В Усинском пограничном округе","31","34","*"
"Итого в округах","11945","11262","*"
"ВСЕГО В ГУБЕРНИИ","12892","12225","*"
