"Города и округа","Незаконно-рожденных: *","Незаконно-рожденных: Жен.","Незаконно-рожденных: Обоего пола","Всего родившихся: Муж.","Всего родившихся: Жен.","Всего родившихся: Обоего пола","Число умерших: Муж.","Число умерших: Жен.","Число умерших: Обоего пола","Прибыль+ или убыль-","Число браков"
"В гор. Красноярске","*","78","164","426","434","860","618","426","1044","-184","152"
"В гор. Енисейске","*","16","46","195","161","356","265","183","448","-92","55"
"В гор. Канске","*","8","24","115","123","238","219","122","341","-103","33"
"В гор. Ачинске","*","4","10","103","115","218","190","119","309","-91","53"
"В гор. Минусинске","*","19","37","244","234","478","242","209","451","+27","82"
"В гор. Туруханске","*","1","3","22","22","44","20","12","32","+12","19"
"Итого в городах","*","126","284","1105","1089","2194","1554","1071","2625","-431","394"
"В Красноярском округе","*","113","244","1801","1751","3552","1800","1541","3341","+211","542"
"В Енисейском округе","*","104","200","1481","1326","2807","1283","1152","2435","+372","445"
"В Канском округе","*","171","371","2339","2097","4436","1891","1606","3497","+939","760"
"В Ачинском округе","*","165","334","2693","2594","5287","2049","1927","3976","+1311","877"
"В Минусинском округе","*","804","1596","4858","4691","9549","3318","3153","6471","+3078","1625"
"В Туруханском крае","*","6","19","143","132","275","100","83","183","+92","50"
"В Усинском пограничном округе","*","3","6","34","37","71","13","10","23","+48","9"
"Итого в округах","*","1366","2770","13349","12628","25977","10454","9472","19926","+5951","4308"
"ВСЕГО В ГУБЕРНИИ","*","1492","3054","14454","13717","28171","12008","10543","22551","+5620","4702"
