"Окладных сборов","Уездов и разрядов плательщиков","Недоимок на 1 янв 1895: Всего: Руб.","Недоимок на 1 янв 1895: Всего: Коп.","Недоимок на 1 янв 1895: В отчетном году: Руб.","Недоимок на 1 янв 1895: В отчетном году: Коп.","Недоимок на 1 янв 1895: В след. годы: Руб.","Недоимок на 1 янв 1895: В след. годы: Коп.","Оклад: Руб.","Оклад: Коп.","Подлежало в отчетном году: Недоимок: Руб.","Подлежало в отчетном году: Недоимок: Коп.","Подлежало в отчетном году: *: Руб.","Подлежало в отчетном году: *: Коп."
"Подушная подать (§ 1 ст. 7)","С крестьян старожилов","15 492","21 3/4","13 251","20 1/4","2 241","4","102 270","71","18 870","42 3/4","1 073","4"
"Подушная подать (§ 1 ст. 7)","С крестьян из ссыльных","51 495","28","51 495","28","—","—","12 937","59","42 926","60 1/4","117","—"
"Подушная подать (§ 1 ст. 7)","С крестьян из казаков","342","30 1/2","342","30 1/2","—","—","804","89","342","30 1/2","7","—"
"Подушная подать (§ 1 ст. 7)","С крестьян административно сосланных","1 997","88 1/4","1 997","88 1/4","—","—","647","97","1 679","14 1/4","64","—"
"Подушная подать (§ 1 ст. 7)","С оседлых инородцев","154","40 1/4","154","40 1/4","—","—","1 997","54","154","40 1/4","193","—"
"Подушная подать (§ 1 ст. 7)","С купцов и мещан в селениях","266","25","266","25","—","—","78","74","347","23","87","—"
"Подушная подать (§ 1 ст. 7)","С кочевых инородцев","40","58 1/2","40","58 1/2","—","—","2 166","78","40","59","2 160","—"
"Подушная подать (§ 1 ст. 7)","С поселенцев полного оклада","40 665","40 1/4","40 665","40 1/4","—","—","10 215","97","30 119","20 3/4","921","—"
"Подушная подать (§ 1 ст. 7)","Половинного","15 165","65 1/2","15 165","65 1/2","—","—","1 261","95","6 491","41","531","—"
"Подушная подать (§ 1 ст. 7)","ИТОГО","125 620","3/4","123 378","96 3/4","2 241","4","135 680","14","100 971","31 1/4","1 833","4"
"Оброчная подать (§ 1 ст. 8)","С кочевых и бродячих инородцев","5 850","25 1/2","5 850","25 1/2","—","—","1 950","8 1/2","5 850","25 1/2","1 932","—"
"Оброчная подать (§ 1 ст. 8)","С крестьян старожилов","37 981","16 3/4","33 313","25 3/4","4 667","91","225 252","66","44 961","96 3/4","227","91"
"Оброчная подать (§ 1 ст. 8)","С крестьян из ссыльных","110 868","92","110 868","92","—","—","28 197","54","97 541","25 3/4","25","—"
"Оброчная подать (§ 1 ст. 8)","С крестьян административно ссыльных","4 418","33 1/4","4 418","33 1/4","—","—","1 430","2","3 661","51 3/4","1 410","—"
"Оброчная подать (§ 1 ст. 8)","С купцов и мещан в селениях","472","36 1/2","472","36 1/2","—","—","161","66","719","56 1/4","150","—"
"Оброчная подать (§ 1 ст. 8)","С поселенцев полного оклада","97 778","89 1/4","97 778","89 1/4","—","—","23 174","92","73 217","94 3/4","20","—"
"Оброчная подать (§ 1 ст. 8)","Половинного","73 063","78 1/4","75 063","78 1/4","—","—","14 293","21","38 921","59 1/4","111","—"
"Оброчная подать (§ 1 ст. 8)","ИТОГО","333 533","45 1/4","328 915","54 3/4","4 667","91","292 510","7","259 023","84","2 863","91"
