"Поступило в казну губернии: Руб.","Поступило в казну губернии: Коп.","Зачтено за прежние годы: Руб.","Зачтено за прежние годы: Коп.","Исключено по др. губерниям: Руб.","Исключено по др. губерниям: Коп.","Итого: Руб.","Итого: Коп.","Поступило будущих лет: Руб.","Поступило будущих лет: Коп.","Недоимки 1896: Подлежащие: Руб.","Недоимки 1896: Подлежащие: Коп.","Недоимки 1896: В след. отчетном: Руб.","Недоимки 1896: В след. отчетном: Коп.","Недоимки 1896: ВСЕГО: Руб.","Недоимки 1896: ВСЕГО: Коп."
"103 293","4 1/2","310","29 1/4","—","—","103 603","53 3/4","594","96","16 529","59","2 241","4","18 770","63"
"14 961","38 1/4","35","53 1/2","—","—","14 996","91 3/4","107","18 1/2","39 671","80","—","—","36 671","80"
"772","81 1/2","—","10 1/2","—","—","772","92","6","—","363","40","—","—","363","40"
"456","66 1/4","4","9","—","—","460","75 1/4","3","48","1 859","50","—","—","1 859","50"
"1 985","93","—","62 1/2","—","—","1 986","55 1/2","2","36","165","38 1/4","—","—","165","38 1/4"
"96","35 1/2","—","1/2","—","—","96","36","—","1 1/2","338","41","—","—","338","41"
"2 186","69","—","—","—","—","2 186","69","—","—","20","68","—","—","20","68"
"5 317","88","108","39","—","—","5 426","27","114","52 1/4","33 907","65 1/4","—","—","33 907","65 1/4"
"2 985","31","131","75 1/4","—","—","3 117","6 1/4","184","26 3/4","6 684","70 3/4","—","—","6 684","70 3/4"
"134 056","7","590","79 1/2","—","—","134 616","86 1/2","1 012","79 3/4","99 541","12 3/4","2 241","4","107 782","16 3/4"
"—","—","—","—","—","—","—","—","—","—","7 800","34","—","—","7 800","34"
"233 546","53 1/4","1 207","71 1/2","—","—","234 754","24 3/4","920","65 1/2","37 590","39","4 667","91","42 258","30"
"30 569","89 1/2","79","89 1/2","—","—","30 649","78 3/4","48","54","92 526","94 1/2","—","—","92 526","94 1/2"
"939","41 1/4","10","36 1/4","—","—","949","78","5","33 1/4","4 128","31 1/4","—","—","4 128","31 1/4"
"195","14","—","—","—","—","195","14","—","1","705","26 1/2","—","—","705","26 1/2"
"12 591","38 1/4","232","92","—","—","12 824","30 1/4","271","65 1/2","81 262","27 1/4","—","—","81 262","27 1/4"
"9 657","50 1/2","502","53 1/4","—","—","10 160","3 3/4","574","5","39 863","33 1/4","—","—","39 863","33 1/4"
"287 499","86 3/4","2 033","42 1/2","—","—","289 533","29 1/4","1 820","24 3/4","236 070","53","4 667","91","260 744","44"
